"country","year","suicides","population","suicide_per_100k","gdp_per_capita"
"Argentina",2010,2943,37578454,7.83161542515826,11273
"Argentina",2011,2912,38015739,7.65998524979351,13946
"Argentina",2012,3248,38441778,8.44914093203493,14203
"Argentina",2013,2987,38859125,7.68674024440849,14206
"Argentina",2014,3231,39276555,8.22628155651635,13400
"Argentina",2015,3073,39699624,7.7406274679075,14981
"Armenia",1990,93,2983700,3.11693534872809,756
"Armenia",1991,80,3230800,2.47616689364863,640
"Armenia",1992,83,3308700,2.50853809653338,385
"Armenia",1993,106,3366600,3.14857719954851,357
"Armenia",1994,112,3402500,3.29169728141073,387
"Armenia",1995,130,3443200,3.77555762081784,426
"Armenia",1996,87,3486300,2.495482316496,458
"Armenia",1997,77,3526700,2.18334420279581,465
"Armenia",1998,66,3558000,1.85497470489039,532
"Armenia",1999,67,3580700,1.87114251403357,515
"Armenia",2000,61,3606500,1.69139054484958,530
"Armenia",2001,60,3610516,1.66181232821015,587
"Armenia",2002,74,3014844,2.45452169332808,788
"Armenia",2003,59,3024366,1.95082208965449,928
"Armenia",2006,78,2764396,2.82159285427992,2310
"Armenia",2007,71,2735313,2.59568100615908,3366
"Armenia",2008,63,3045391,2.06869988123036,3829
"Armenia",2009,53,2689695,1.97048364219735,3215
"Armenia",2010,73,2676225,2.72772281852236,3460
"Armenia",2011,67,2670366,2.50901936288883,3798
"Armenia",2012,79,2814300,2.80709234978503,3773
"Armenia",2013,67,2810664,2.38377835273088,3957
"Armenia",2014,58,2803029,2.06919015108299,4142
"Armenia",2015,74,2795335,2.64726767990241,3775
"Aruba",1995,8,73581,10.8723719438442,17949
"Aruba",1999,9,81934,10.9844508995045,21027
"Aruba",2000,10,83888,11.9206561129125,22333
"Aruba",2001,4,86045,4.64873031553257,22317
"Aruba",2002,9,88284,10.1943727062661,21987
"Aruba",2003,2,90457,2.21099527952508,22345
"Aruba",2004,8,92335,8.66410353603726,24133
"Aruba",2005,10,93728,10.6691703653124,24870
"Aruba",2006,9,94508,9.52300334363228,25622
"Aruba",2007,8,94814,8.43757251038876,27672
"Aruba",2008,4,94814,4.21878625519438,29447
"Aruba",2009,4,94795,4.21963183712221,26361
"Aruba",2010,7,95006,7.36795570806054,25974
"Aruba",2011,9,95488,9.42526809651475,27066
"Australia",1985,1861,14562500,12.7793991416309,12374
"Australia",1986,2044,14809800,13.8016718659266,12288
"Australia",1987,2164,15046500,14.3820822118101,12564
"Australia",1988,2172,15312100,14.1848603392089,15393
"Australia",1989,2066,15570600,13.2685959436374,19223
"Australia",1990,2202,15807000,13.9305371038148,19665
"Australia",1991,2288,16012100,14.2891937971909,20320
"Australia",1992,2251,16203500,13.8920603573302,20050
"Australia",1993,2038,16370000,12.449602932193,19030
"Australia",1994,2283,16549400,13.7950620566305,19469
"Australia",1995,2170,16766300,12.9426289640529,21902
"Australia",1996,2426,17015100,14.2579238441149,23526
"Australia",1997,2646,17221300,15.364693722309,25234
"Australia",1998,2632,17421730,15.1075696845262,22897
"Australia",1999,2488,17641702,14.1029476634397,22016
"Australia",2000,2391,17874410,13.3766652997218,23219
"Australia",2001,2458,18130883,13.5569789954521,20860
"Australia",2002,2319,18370058,12.6238033652371,21474
"Australia",2003,2156,18608029,11.5863963883547,25059
"Australia",2004,2114,18854551,11.2121471362537,32454
"Australia",2006,2117,19109246,11.0784067566036,39014
"Australia",2007,2229,19734430,11.2949803972043,43171
"Australia",2008,2341,20120312,11.635008443209,52315
"Australia",2009,2337,20529317,11.3837201695507,45128
"Australia",2010,2420,20847547,11.6080803175549,54887
"Australia",2011,2392,20881910,11.4548908600794,66770
"Australia",2012,2580,21238909,12.1475166167904,72669
"Australia",2013,2608,21600180,12.0739734576286,72856
"Australia",2014,2891,21927587,13.1843052315788,66809
"Australia",2015,3027,22240785,13.6101311172245,60656
"Austria",1985,2091,7110115,29.4088070305473,9759
"Austria",1986,2139,7119149,30.045725970899,13911
"Austria",1987,2069,7130006,29.0182083998246,17415
"Austria",1988,1851,7144410,25.908367520901,18663
"Austria",1989,1898,7177666,26.4431362506977,18544
"Austria",1990,1825,7231353,25.2373241909225,23020
"Austria",1991,1769,7299728,24.2337796695987,23808
"Austria",1992,1759,7375368,23.849657400146,26450
"Austria",1993,1704,7433569,22.923040063259,25611
"Austria",1994,1776,7462552,23.7988291404871,27274
"Austria",1995,1788,7477030,23.9132382777654,32237
"Austria",1996,1779,7493706,23.7399225429981,31660
"Austria",1997,1592,7512589,21.1910967044783,28325
"Austria",1998,1559,7533519,20.6941802363544,28972
"Austria",1999,1555,7561609,20.5644063320386,28722
"Austria",2000,1588,7592073,20.916553357693,25922
"Austria",2001,1489,7634560,19.5034160449325,25848
"Austria",2002,1553,7683162,20.213032082364,27772
"Austria",2003,1456,7722033,18.8551382777048,33889
"Austria",2004,1422,7773105,18.2938478252899,38711
"Austria",2005,1399,7827461,17.8729731135039,40367
"Austria",2006,1297,7869269,16.4818358604846,42698
"Austria",2007,1285,7897272,16.2714415813461,49218
"Austria",2008,1267,7925258,15.986861247924,54294
"Austria",2009,1278,7946894,16.0817547081917,50356
"Austria",2010,1264,7968421,15.8626156926197,49181
"Austria",2011,1288,7995146,16.109774605742,53923
"Austria",2012,1276,8031276,15.887886308477,50979
"Austria",2013,1291,8079615,15.9784841233153,53229
"Austria",2014,1314,8141165,16.1401961512879,54278
"Austria",2015,1251,8219386,15.2201149818247,46484
"Azerbaijan",1990,114,6156800,1.85161122661123,1439
"Azerbaijan",1991,134,6290600,2.13016246462977,1398
"Azerbaijan",1992,144,6370400,2.26045460253673,784
"Azerbaijan",1993,119,6442600,1.84708037127868,617
"Azerbaijan",1994,47,6521200,0.720726246703061,508
"Azerbaijan",1995,49,6605900,0.741761152908763,462
"Azerbaijan",1996,69,6668100,1.03477752283259,476
"Azerbaijan",1997,107,6711200,1.594349743712,590
"Azerbaijan",1998,56,7044400,0.794957696893987,631
"Azerbaijan",1999,54,7106400,0.759878419452888,645
"Azerbaijan",2000,62,7415250,0.83611476349415,711
"Azerbaijan",2001,317,7518000,4.21654695397712,759
"Azerbaijan",2002,92,7605700,1.20961910146338,820
"Azerbaijan",2003,129,7674400,1.6809131658501,948
"Azerbaijan",2004,108,7738250,1.39566439440442,1122
"Azerbaijan",2007,55,7921100,0.694348007221219,4172
"Bahamas",1985,1,203700,0.490918016691213,11393
"Bahamas",1987,3,220900,1.35808057944771,12286
"Bahamas",1993,7,243500,2.87474332648871,12698
"Bahamas",1994,3,249300,1.20336943441637,13073
"Bahamas",1995,2,254500,0.785854616895874,13473
"Bahamas",1996,3,252438,1.1884106196373,14297
"Bahamas",1997,2,255956,0.781384300426636,24740
"Bahamas",1998,3,260125,1.15329168668909,26269
"Bahamas",1999,6,264791,2.26593804170081,29019
"Bahamas",2000,11,269738,4.07803127479258,29942
"Bahamas",2001,1,276140,0.362135148837546,30122
"Bahamas",2002,3,282555,1.06174019217497,31432
"Bahamas",2003,1,288888,0.346154911245881,30704
"Bahamas",2004,2,295237,0.677421867855316,30671
"Bahamas",2005,4,301763,1.32554355570431,32596
"Bahamas",2006,2,308499,0.648300318639607,32957
"Bahamas",2007,5,314989,1.58735701881653,33710
"Bahamas",2008,4,321447,1.24437310038669,32746
"Bahamas",2009,6,327813,1.83031179361404,30450
"Bahamas",2010,10,333869,2.99518673491699,30239
"Bahamas",2011,4,338383,1.18209248100525,29761
"Bahamas",2012,5,343558,1.45535833833006,31204
"Bahamas",2013,5,348959,1.43283308354277,30455
"Bahrain",1985,11,365900,3.00628587045641,9980
"Bahrain",1987,9,363900,2.47320692497939,9321
"Bahrain",1988,14,389700,3.59250705671029,9501
"Bahrain",1997,0,529754,0,11985
"Bahrain",1998,0,546008,0,11325
"Bahrain",1999,17,565762,3.0047970701461,11703
"Bahrain",2000,29,590594,4.91031063641012,15345
"Bahrain",2001,23,624083,3.6854072294871,14383
"Bahrain",2002,25,661010,3.78209104249557,14572
"Bahrain",2003,34,702913,4.83701396901181,15756
"Bahrain",2004,42,751559,5.58838361326256,17497
"Bahrain",2005,42,819540,5.12482612197086,19485
"Bahrain",2006,28,888543,3.15122622090321,20826
"Bahrain",2007,40,964770,4.14606590171751,22524
"Bahrain",2008,43,1024110,4.19876771049985,25106
"Bahrain",2009,36,1092922,3.29392216461925,20988
"Bahrain",2010,19,1139160,1.66789564240317,22572
"Bahrain",2011,18,1103462,1.63122971158046,26078
"Bahrain",2012,19,1201778,1.58099083191738,25587
"Bahrain",2013,5,1214492,0.411694766206776,26793
"Bahrain",2014,9,1213966,0.741371669387775,27503
"Barbados",1985,7,231000,3.03030303030303,6137
"Barbados",1986,8,231600,3.45423143350605,6720
"Barbados",1987,6,233700,2.56739409499358,7333
"Barbados",1988,12,234800,5.11073253833049,7763
"Barbados",1989,16,236000,6.77966101694915,8541
"Barbados",1990,16,237000,6.75105485232068,8537
"Barbados",1991,17,237000,7.17299578059072,8469
"Barbados",1992,14,240000,5.83333333333333,8129
"Barbados",1993,16,239600,6.67779632721202,8540
"Barbados",1994,14,240300,5.82605076987099,8953
"Barbados",1995,17,241200,7.04809286898839,9378
"Barbados",2000,10,251133,3.98195378544437,12430
"Barbados",2001,2,252406,0.792374190787858,12348
"Barbados",2002,0,253353,0,12511
"Barbados",2003,0,254122,0,12887
"Barbados",2004,3,254925,1.17681671079729,13786
"Barbados",2005,1,255889,0.390794446029333,15230
"Barbados",2006,9,256883,3.50354052233896,16531
"Barbados",2007,0,258083,0,17528
"Barbados",2008,1,259414,0.385484206712051,17760
"Barbados",2009,5,260718,1.91778089736804,17007
"Barbados",2010,3,261927,1.14535729420793,17034
"Barbados",2011,0,263203,0,17708
"Barbados",2012,0,264270,0,17620
"Barbados",2013,0,265165,0,17395
"Belarus",1990,2085,9408800,22.1601054332115,2301
"Belarus",1991,2169,9476200,22.8889217196767,1899
"Belarus",1992,2424,9570900,25.3267717769489,1780
"Belarus",1993,2885,9641100,29.9239713310722,1689
"Belarus",1994,3153,9653900,32.6603755994986,1547
"Belarus",1995,3203,9673600,33.1107343698313,1444
"Belarus",1996,3627,9684800,37.4504377994383,1524
"Belarus",1997,3526,9692100,36.3801446538934,1458
"Belarus",1998,3556,9694800,36.6794570285101,1570
"Belarus",1999,3397,9563200,35.5215827338129,1269
"Belarus",2000,3483,9543479,36.4961247360632,1335
"Belarus",2001,3303,9513587,34.718765908169,1299
"Belarus",2002,3291,9469234,34.7546591413836,1541
"Belarus",2003,3456,9420691,36.685207061775,1892
"Belarus",2007,2659,9244456,28.7631851998647,4898
"Belarus",2008,2658,9205746,28.8732711069804,6601
"Belarus",2009,2743,9169969,29.9128601198107,5366
"Belarus",2010,2459,8981193,27.3794361172285,6371
"Belarus",2011,2172,8947320,24.2754254905379,6902
"Belarus",2013,1902,8910240,21.346226364273,8477
"Belarus",2014,1741,8906977,19.5464746344355,8849
"Belgium",1985,2281,9269600,24.6073185466471,9356
"Belgium",1986,2202,9287100,23.7103078463675,12992
"Belgium",1987,2238,9291300,24.0870491750347,16165
"Belgium",1988,1996,9319300,21.4179176547595,17509
"Belgium",1989,1920,9349200,20.5365164933898,17659
"Belgium",1990,1895,9369700,20.224767068316,22032
"Belgium",1991,1805,9396600,19.2090756230977,22523
"Belgium",1992,1878,9428100,19.9191777770707,25036
"Belgium",1993,2142,9462900,22.6357670481565,23875
"Belgium",1994,2131,9497400,22.4377197969971,25922
"Belgium",1995,2155,9527100,22.6196848988674,30394
"Belgium",1996,2013,9557545,21.061894032411,29438
"Belgium",1997,2146,9576223,22.4096702844117,26609
"Belgium",1998,2019,9620997,20.9853511023857,27087
"Belgium",1999,1857,9648277,19.2469598457839,26969
"Belgium",2000,2143,9674025,22.152103183525,24592
"Belgium",2001,2165,9710055,22.296475148699,24494
"Belgium",2002,2076,9758570,21.2736087357062,26526
"Belgium",2003,2091,9804122,21.3277639751933,32538
"Belgium",2004,1987,9848022,20.1766405477161,37661
"Belgium",2005,2029,9901014,20.4928505302588,39124
"Belgium",2006,1935,9962702,19.4224418235133,41135
"Belgium",2007,1857,10030266,18.5139656316193,47040
"Belgium",2008,1999,10100850,19.7904136780568,51345
"Belgium",2009,2013,10173366,19.7869613655893,47630
"Belgium",2010,2013,10211171,19.7137037466124,47355
"Belgium",2011,2088,10355126,20.1639265422748,50893
"Belgium",2012,2026,10442637,19.4012297851587,47678
"Belgium",2013,1895,10526149,18.0027852541324,49489
"Belgium",2014,1899,10578848,17.9509148822254,50173
"Belgium",2015,1867,10624356,17.572829826109,42830
"Belize",1986,3,146800,2.04359673024523,1552
"Belize",1987,4,144069,2.77644739673351,1920
"Belize",1989,1,153088,0.65321906354515,2372
"Belize",1990,3,158000,1.89873417721519,2614
"Belize",1991,2,162200,1.23304562268804,2742
"Belize",1993,1,170800,0.585480093676815,3278
"Belize",1994,8,170874,4.68181232955277,3399
"Belize",1995,14,180500,7.75623268698061,3436
"Belize",1996,8,180926,4.42169726849651,3545
"Belize",1997,1,187650,0.532907007727152,3487
"Belize",1998,12,195108,6.15043975644259,3531
"Belize",1999,18,202699,8.88016221096305,3615
"Belize",2000,18,210109,8.56698189987102,3960
"Belize",2001,19,217279,8.74451741769798,4013
"Belize",2002,14,224136,6.24620765963522,4161
"Belize",2003,12,230890,5.19728009008619,4289
"Belize",2004,20,237791,8.41074725283968,4449
"Belize",2005,12,245020,4.89755938290752,4547
"Belize",2006,11,252826,4.35081834937862,4815
"Belize",2007,8,260667,3.06904978382381,4951
"Belize",2008,11,268487,4.09703263100262,5098
"Belize",2009,15,276189,5.4310635108567,4841
"Belize",2010,15,283796,5.28548675809384,4923
"Belize",2011,33,291662,11.3144667457536,5098
"Belize",2012,18,298946,6.02115432218528,5264
"Belize",2013,17,305888,5.5575897060362,5272
"Belize",2014,24,312780,7.67312488010742,5448
"Belize",2015,26,319835,8.12919161442619,5561
"Brazil",1985,4228,117478900,3.59894415082198,1898
"Brazil",1986,4271,118776400,3.59583216867997,2257
"Brazil",1987,4672,122822467,3.80386432068654,2394
"Brazil",1988,4466,125701294,3.55286716459737,2628
"Brazil",1989,4463,128570308,3.47125247611603,3310
"Brazil",1990,4803,131387553,3.65559742177404,3516
"Brazil",1991,5156,134281850,3.83968496114702,4490
"Brazil",1992,5207,137007021,3.80053515651581,2924
"Brazil",1993,5508,139615477,3.94512135642383,3136
"Brazil",1994,5896,142188450,4.14660965781679,3925
"Brazil",1995,6536,144783591,4.51432372609131,5313
"Brazil",1996,6698,147353130,4.54554307736795,5771
"Brazil",1997,6891,149932627,4.59606433761746,5891
"Brazil",1998,6922,152524311,4.5382929151537,5663
"Brazil",1999,6507,155122073,4.1947608577923,3864
"Brazil",2000,6763,157715991,4.28808769302283,4156
"Brazil",2001,7710,160178796,4.81337117804282,3492
"Brazil",2002,7697,162761414,4.729007822456,3121
"Brazil",2003,7839,165396911,4.73950810363079,3376
"Brazil",2004,7995,167993068,4.75912494198868,3984
"Brazil",2005,8529,170483960,5.00281668727076,5230
"Brazil",2006,8618,172974722,4.98223087186115,6403
"Brazil",2007,8855,175293192,5.05153674194033,7970
"Brazil",2008,9184,177471632,5.17491155995004,9555
"Brazil",2009,9346,179569551,5.20466857991977,9283
"Brazil",2010,9429,181629712,5.1913312509134,12161
"Brazil",2011,9822,183656441,5.34802914971003,14245
"Brazil",2012,10295,185591215,5.54713756251879,13283
"Brazil",2013,10513,187458852,5.60816407858936,13191
"Brazil",2014,10631,189285554,5.61638211440055,12975
"Brazil",2015,11163,191087085,5.84183907562356,9431
"Bulgaria",1985,1456,8392500,17.3488233541853,2044
"Bulgaria",1986,1408,8391500,16.7788833939105,2413
"Bulgaria",1987,1492,8375400,17.8140745516632,3355
"Bulgaria",1988,1452,8389800,17.3067296002288,2688
"Bulgaria",1989,1460,8403200,17.3743335872049,2617
"Bulgaria",1990,1323,8418500,15.7153887272079,2451
"Bulgaria",1991,1384,8431900,16.4138569005799,1298
"Bulgaria",1992,1519,8041500,18.8895106634334,1287
"Bulgaria",1993,1470,8001000,18.3727034120735,1354
"Bulgaria",1994,1464,7995500,18.3102995434932,1213
"Bulgaria",1995,1433,7983900,17.948621600972,1636
"Bulgaria",1996,1526,7963300,19.162909848932,1270
"Bulgaria",1997,1465,7933900,18.4650676212203,1411
"Bulgaria",1998,1503,7899500,19.0265206658649,1852
"Bulgaria",1999,1307,7866600,16.6145475809117,1715
"Bulgaria",2000,1383,7829095,17.6648769749249,1680
"Bulgaria",2001,1314,7591926,17.3078610091826,1854
"Bulgaria",2002,1317,7544410,17.4566334544384,2157
"Bulgaria",2003,1092,7493166,14.5732791719815,2800
"Bulgaria",2004,1013,7447563,13.601764765199,3485
"Bulgaria",2005,982,7404051,13.263009668626,4003
"Bulgaria",2006,977,7358508,13.2771480305518,4638
"Bulgaria",2007,902,7312474,12.3350865931284,6073
"Bulgaria",2008,939,7267511,12.9205170793687,7487
"Bulgaria",2009,868,7219817,12.0224653893582,7186
"Bulgaria",2010,859,7162740,11.9926173503436,7066
"Bulgaria",2011,763,7056527,10.8126844834577,8137
"Bulgaria",2012,872,6959652,12.5293621002889,7745
"Bulgaria",2013,721,6920644,10.4181055982651,8057
"Bulgaria",2014,724,6883874,10.5173336990189,8241
"Canada",1985,3258,23499900,13.8638887825055,15522
"Canada",1986,3670,23499100,15.6176193981897,16062
"Canada",1987,3591,23798100,15.0894399132704,18124
"Canada",1988,3510,24080600,14.5760487695489,21069
"Canada",1989,3491,24368400,14.3259303031795,23188
"Canada",1990,3378,24704400,13.673677563511,24041
"Canada",1991,3593,25390400,14.15101770748,24038
"Canada",1992,3708,26454400,14.0165719124229,22393
"Canada",1993,3803,26944700,14.1140929385,21421
"Canada",1994,3748,27246000,13.7561476914042,21219
"Canada",1995,3968,27618500,14.3671814182523,21871
"Canada",1996,3941,27706600,14.224047699826,22686
"Canada",1997,3681,28085100,13.1065938878622,23245
"Canada",1998,3699,28372536,13.0372554642278,22268
"Canada",1999,4074,28681643,14.2042071997061,23572
"Canada",2000,3606,29008565,12.4308113827761,25589
"Canada",2001,3694,29262055,12.6238570736061,25165
"Canada",2002,3650,29642114,12.3135617115567,25570
"Canada",2003,3765,29958833,12.5672451927617,29787
"Canada",2004,3613,30283966,11.9304056806826,33787
"Canada",2005,3743,30597090,12.2331894961253,38218
"Canada",2006,3512,30902962,11.3646064089261,42566
"Canada",2007,3611,31242631,11.5579254512848,46890
"Canada",2008,3705,31588641,11.7288996383225,49041
"Canada",2009,3890,31937357,12.1800936752531,42933
"Canada",2010,3951,32286140,12.2374492584124,49974
"Canada",2011,3728,32615418,11.4301769794887,54841
"Canada",2012,3926,32961196,11.9109755604742,55347
"Canada",2013,4054,33314836,12.1687526842395,55310
"Chile",1985,683,10675400,6.39788673023962,1658
"Chile",1986,654,10931700,5.98260105930459,1728
"Chile",1987,693,11209000,6.18253189401374,1985
"Chile",1988,697,11306000,6.16486821156908,2303
"Chile",1989,725,11501000,6.30379966959395,2599
"Chile",1990,743,11709000,6.34554616107268,2828
"Chile",1991,787,11871000,6.62960154999579,3187
"Chile",1992,658,12125000,5.42680412371134,3791
"Chile",1993,740,12306400,6.01313137879477,4006
"Chile",1994,801,12526600,6.39439273226574,4551
"Chile",1995,930,12897643,7.21061980084268,5695
"Chile",1996,917,13125089,6.98661929073395,5946
"Chile",1997,910,13339550,6.82181932673891,6368
"Chile",1998,1031,13543940,7.61226053866157,6023
"Chile",1999,1041,13743882,7.57427923202484,5470
"Chile",2000,1473,13943575,10.5640052855885,5584
"Chile",2001,1625,14139590,11.492553885933,5020
"Chile",2002,1603,14332840,11.1841058715509,4866
"Chile",2003,1654,14523758,11.3882371215494,5208
"Chile",2004,1735,14710993,11.793901336232,6744
"Chile",2005,1682,14893574,11.2934611933979,8256
"Chile",2006,1795,15071596,11.9098203003849,10270
"Chile",2007,1848,15245435,12.1216613366559,11387
"Chile",2008,2088,15415661,13.5446673353806,11653
"Chile",2009,2148,15584149,13.7832357737339,11062
"Chile",2010,2001,15751851,12.7032689681994,13874
"Chile",2011,2027,15910783,12.7397878533068,15854
"Chile",2012,1841,16075247,11.4523901250164,16617
"Chile",2013,1738,16242244,10.7004918778464,17140
"Chile",2014,1789,16406867,10.903970879998,15883
"Chile",2015,1838,16565725,11.0951980670934,14729
"Colombia",1985,1001,25052400,3.99562516964443,1393
"Colombia",1986,958,25585600,3.74429366518667,1366
"Colombia",1987,951,28009432,3.39528484547634,1299
"Colombia",1988,912,28649501,3.18330151718873,1369
"Colombia",1989,831,29289829,2.83716234738004,1350
"Colombia",1990,865,29930973,2.88998289497638,1346
"Colombia",1991,1010,30584178,3.3023611097215,1348
"Colombia",1992,1086,29615400,3.66701108207217,1664
"Colombia",1993,1085,30242200,3.58770195290025,1845
"Colombia",1994,1198,30874600,3.88021221327564,2646
"Colombia",1995,1150,33090899,3.47527578504289,2796
"Colombia",1996,1209,33703636,3.58715006297837,2883
"Colombia",1997,1242,34338825,3.61689720018085,3106
"Colombia",1998,2052,34987039,5.86502904689934,2814
"Colombia",1999,2143,35629408,6.01469437830682,2419
"Colombia",2000,2358,36252342,6.50440735663368,2755
"Colombia",2001,2412,36884428,6.53934500488933,2662
"Colombia",2002,2379,37478276,6.34767725174979,2613
"Colombia",2003,2269,38044513,5.96406635563977,2489
"Colombia",2004,2244,38604716,5.81276132169966,3033
"Colombia",2005,2102,39172790,5.36596959266879,3742
"Colombia",2006,2177,39708676,5.48242907922692,4095
"Colombia",2007,2181,40275206,5.41524232054828,5150
"Colombia",2008,2220,40859129,5.43330231048244,5971
"Colombia",2009,2249,41436173,5.42762479536901,5643
"Colombia",2010,2107,41989103,5.01796859056503,6836
"Colombia",2011,2044,42538305,4.80508097348966,7885
"Colombia",2012,2119,43055864,4.92151313001174,8586
"Colombia",2013,2068,43546298,4.74896855755683,8731
"Colombia",2014,2126,44021800,4.82942542104139,8591
"Colombia",2015,2332,44490427,5.24157702509801,6552
"Costa Rica",1985,128,2236200,5.72399606475271,2145
"Costa Rica",1986,131,2292900,5.71328884818352,2389
"Costa Rica",1987,119,2400700,4.95688757445745,2433
"Costa Rica",1988,138,2465200,5.59792308940451,2460
"Costa Rica",1989,167,2556000,6.53364632237872,2686
"Costa Rica",1990,157,2627800,5.97457949615648,2817
"Costa Rica",1991,125,2704000,4.62278106508876,2651
"Costa Rica",1992,149,2778400,5.36279873308379,3070
"Costa Rica",1993,164,2853700,5.74692504467884,3342
"Costa Rica",1994,162,2929100,5.53070909152982,3562
"Costa Rica",1995,209,3135200,6.66624138810921,3672
"Costa Rica",1996,209,3192446,6.54670431387093,3639
"Costa Rica",1997,187,3279559,5.70198615118679,3827
"Costa Rica",1998,223,3365726,6.62561361204091,4046
"Costa Rica",1999,233,3449923,6.75377392480934,4115
"Costa Rica",2000,239,3531421,6.76781386303134,4233
"Costa Rica",2001,198,3606850,5.48955459750198,4412
"Costa Rica",2002,275,3680372,7.47207075806467,4485
"Costa Rica",2003,315,3751871,8.39581105000678,4583
"Costa Rica",2004,325,3820857,8.50594513220463,4850
"Costa Rica",2005,272,3887096,6.99751176713927,5133
"Costa Rica",2006,350,3953916,8.85198370425674,5716
"Costa Rica",2007,270,4015241,6.72437843706019,6661
"Costa Rica",2008,261,4072561,6.40874378554428,7517
"Costa Rica",2009,278,4128459,6.73374738613124,7403
"Costa Rica",2010,311,4184663,7.43190072892369,8906
"Costa Rica",2011,316,4235514,7.46072377520178,9978
"Costa Rica",2012,302,4290210,7.03928245936679,10832
"Costa Rica",2013,311,4347229,7.15398245641074,11443
"Costa Rica",2014,268,4403674,6.08582742500921,11485
"Croatia",1995,929,4497400,20.6563792413394,4978
"Croatia",1996,1001,4220800,23.7158832448825,5610
"Croatia",1997,946,4295100,22.0250983679076,5546
"Croatia",1998,1029,4227900,24.3383239906336,6015
"Croatia",1999,989,4283800,23.0869788505532,5459
"Croatia",2000,926,4118000,22.4866440019427,5288
